created_time,id,like_count,message,class
2016-03-14T01:33:07+0000,509590282563159_509591945896326,1739,"Inilah presiden yg dlu dikatain kurang tegas,, tp dia berani dan gagah melawan arus,,sudah brp banyak kapal pencuri yg dihancurkan,, bagi para pecundang apapun yg dilakukan oleh presiden kita sll salah,,Berantas trus pak para penjajah pencuri ikan,, Semoga allah sll melindungi bapak& keluarga, aminn",1
2016-03-14T01:39:42+0000,509590282563159_509594339229420,1004,"Kita perlu bertanya pada haters...Dulu jkowi di cibir dan di benci karna kurang tegas,terlalu lembut,,,sekarang terbukti tegas dan berani,,,sekarang ada Ahok yg galak dan tegas tetep juga di hujat dan di caci maki...sekarang kita jdi yakin bahwa semua itu hanya fitnah untuk menghancurkan negeri ini....Kita harus waspada...!!!Merdeka....!!!!!",1
2016-03-14T01:42:29+0000,509590282563159_509595409229313,427,"Presiden yg 1 ni memang luar biasa, bnyak yg tidak suka denganya krna dianggap terlalu sederhana. Dianggap pencitraan. Tp mereka yg buta akn kebenaran tdk pernah bisa melihat sesuatu yg nyata. Nyatanya presiden yg sederhana ini mampu berperang, mampu berdiri tegap melawan para pencuri ikan. Kesederhanaan presiden yg mampu menjadi contoh untuk smua rakyat.Terus bekerja dg hati pak, Allah akan senantiasa bersama org2 yg jujur,sabar,dan tegas sprti bapak.",1
2016-03-14T01:33:27+0000,509590282563159_509592072562980,324,"lanjutkan hancurkan maling ikan sampai mereka benar"" nggak punya nyali utk mencuri di laut RI, lanjut hukum mati para maling duit rakyat pak Jokowi, mereka lebih sadis dari teroris..#salamrevolusimental",1
2016-03-14T01:37:32+0000,509590282563159_509593592562828,266,"Nah ini dia akhirnya ketangkep juga,  arep mlayu nang ndi meneh kowe...!  Kamu pikir ini zamannya persiden cemen yg dulu,  salah kamu...!  Skrg mah sdh beda.... Ledakin pak biar kepingannya jdi rumpon di dasar laut.... Mantaaaab...!",1
2016-03-14T01:38:41+0000,509590282563159_509593952562792,193,"Maaf pak,  Jangan maling ikan aja di basmi kapalnya,  klau bisa korupsi jg di miskin kan. biar merdeka indonesia dri tangan orang yg mau memiskin kan Rakyat indonesia.",1
2016-03-14T01:33:15+0000,509590282563159_509592005896320,203,Ternyta ketegasan seorang pemimpin tidak harus dari kalangn militer.... Mantap pak bos....,1
2016-03-14T04:33:07+0000,509590282563159_432005620339021,141,"ada yang aneh dengan negeri ini, dihadirkan pemimpin yang lembut, sabar, pendiam tapi luar biasa dengan kebijakan seperti Jokowi dibilang terlalu lembek, dikasih pemimpin tegas, ngomong ceplas-ceplos, anti korupsi, berani memberantas mafia yang nyata seperti Ahok dibilang ngga beretika, menolak karena isu SARA karena Ahok etnis minoritas dan non Muslim, Jokowi yang pribumi dan muslim dibenci juga. Jokowi berada di partai politik disebut antek bonekanya Megawati, lalu Ahok yang independen dan berani tegas dengan partai dan mafia-mafia di Legislatif ditolak juga. jadi maunya apa ? Siapa yang pantas ? tidakkah fanatisme telah membutakan mata hati dan hati nurani kita sebagai manusia ? sehingga begitu saja menampikkan kebenaran hanya karena kalah pemilu sehari ? miris.",1
2016-03-14T01:39:31+0000,509590282563159_509594245896096,135,"Di laut kita kembali jaya...semoga...! Berantas pencuri ikan, tegakan kedaulatan, keadilan hukum dan keberpihakan kepada nelayan2 kita....lanjut Pak Presiden Joko Widodo dan Ibu Susi Pujiastuti...",1
2016-03-14T02:21:49+0000,509590282563159_431984323674484,109,Mohon di jelaskan Pak Presiden Joko Widodo...Fishing Vessel Viking boat ini milik negara mana? Meskipun milik perorangan/individual company dari negara mana. Maksud saya agar consumer seafood juga bisa banned untuk tidak membeli sea food product negara pencuri di Super Market.......biar perusahaannya juga bangkrut sekalian.,2
2016-03-14T01:41:42+0000,509590282563159_509595102562677,98,"Hati hati pak Jokowi entar ada yg mbela itu maling ,semoga Allah selalu melindungi dan memberi petunjuk  pemerintahan pak Jokowi aamiin :)",1
2016-03-14T01:48:09+0000,509590282563159_509598855895635,74,Keberanian dan ketegasan ibu susi adalah contoh yg n nyata dari sosok.kartini yg sederhana dan cerdas di zaman ini.....wanita yg kuat dan kerja keras serta disiplin....kagum pd mu.maha indonesia an bak lagi me m miliki kartini2 yg seperti ibu susi....,1
2016-03-14T02:41:22+0000,509590282563159_1771139066455280,65,"terus bekerja pak.. temen saya banyak yg nyinyir dan terus mengkritik bapak, sampai sekarang. bukan cuma mengkritik terkadang sampai melecehkan. padahal tidak jelas, apa yg sudah mereka perbuat untuk bangsa dan negara ini. sedih kadang ngeliat fenomena seperti itu. saya doakan bapak selalu pegang amanah sebagai Presiden republik ini, tetap setia, tetap memberikan yg terbaik, dan selalu diberi kesehatan. Amin..",1
2016-03-14T02:22:08+0000,509590282563159_431984410341142,54,"Nelayan di Kalimantan ada yg cerita mereka dirampok nelayan Thailand perahu ditenggelamkan dan nelayan nya dibunuh. Disini ada yg selamat (masih hidup), menceritakan itu berlangsung sudah bertahun tahun. Semoga dipemerintahan bapak tidak ada lagi. Aamiin.",1
2016-03-14T02:23:11+0000,509590282563159_1771131253122728,45,"Makannya jangan pilih yg hanya tegap kalau upacara.... yag hanya disiplin ketika upacara... ketika dijalan bikin brisik karena suara sirine... yg jalanan macet minta didulukan kesana kesini dikawal... padahal bilangnya disiplin adalah nafasky .... persaingan sipil dalam menghasilkan pemimpin lebih ok......., bandingkan dulu dengan sekarang bagaikan bumi dan langit. Maju terus Pak Jokowi JK.",1
